"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","CAR","RB1","239.4","1,110.6","9.5","101.5","862.2","3.9","2.5","272.6"
"Ezekiel Elliott","DAL","RB2","295.5","1,282.7","10.2","58.7","474.6","2.6","2.7","247.0"
"Derrick Henry","TEN","RB3","307.1","1,495.5","10.9","21.9","197.4","1.0","2.2","236.3"
"Dalvin Cook","MIN","RB4","259.6","1,117.0","10.8","62.4","540.0","1.2","2.3","233.0"
"Saquon Barkley","NYG","RB5","257.4","1,164.9","9.2","61.7","496.8","2.3","1.9","231.3"
"Alvin Kamara","NO","RB6","187.8","866.4","8.0","81.1","590.9","2.6","2.1","204.7"
"Aaron Jones","GB","RB7","201.1","890.0","11.0","41.8","359.2","2.0","1.5","200.0"
"Nick Chubb","CLE","RB8","266.5","1,281.5","8.0","23.3","186.2","0.5","2.0","193.8"
"Kenyan Drake","ARI","RB9","194.7","906.7","9.2","55.1","414.9","1.5","1.6","193.0"
"Joe Mixon","CIN","RB10","264.5","1,095.7","7.2","37.8","299.1","2.3","1.9","192.2"
"Josh Jacobs","LV","RB11","250.6","1,132.6","8.5","31.7","249.8","0.6","1.9","189.4"
"Michael Thomas","NO","WR1","1.0","-5.0","0.0","122.9","1,400.1","8.5","0.8","189.1"
"Chris Carson","SEA","RB12","260.1","1,123.0","7.2","37.8","284.5","1.8","2.9","188.7"
"Miles Sanders","PHI","RB13","223.5","983.8","5.2","49.1","440.7","2.5","2.0","184.8"
"Julio Jones","ATL","WR2","1.9","6.7","0.0","102.6","1,443.5","6.9","0.8","184.7"
"Austin Ekeler","LAC","RB14","153.6","682.6","3.8","65.1","665.4","4.5","1.6","181.3"
"Tyreek Hill","KC","WR3","12.1","62.8","0.3","80.4","1,191.8","8.5","0.7","177.1"
"Davante Adams","GB","WR4","0.0","0.0","0.0","99.5","1,293.0","8.1","0.8","176.5"
"Todd Gurley","ATL","RB15","203.9","811.8","7.1","45.2","361.0","2.7","1.6","172.9"
"David Johnson","HOU","RB16","200.9","771.8","4.7","40.6","417.7","4.4","1.6","170.2"
"Le'Veon Bell","NYJ","RB17","239.6","885.4","4.7","65.2","489.6","1.4","2.0","170.2"
"Leonard Fournette","JAC","RB18","205.9","855.7","5.9","60.9","438.2","1.0","1.9","167.4"
"Mike Evans","TB","WR5","0.0","0.0","0.0","71.7","1,164.4","8.6","0.7","166.6"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","91.8","1,150.8","8.4","0.8","164.1"
"Chris Godwin","TB","WR6","1.0","8.0","0.0","80.4","1,176.2","7.8","0.8","163.7"
"DeAndre Hopkins","ARI","WR7","2.4","15.3","0.1","97.7","1,160.3","7.9","0.8","163.6"
"Mark Ingram II","BAL","RB19","180.7","876.7","7.4","24.6","206.2","2.0","1.4","162.1"
