Player,Team,POS,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Christian McCaffrey,CAR,RB,239.4,1110.6,9.5,101.5,862.2,3.9,2.5,272.6
Ezekiel Elliott,DAL,RB,295.5,1282.7,10.2,58.7,474.6,2.6,2.7,247
Derrick Henry,TEN,RB,307.1,1495.5,10.9,21.9,197.4,1,2.2,236.3
Dalvin Cook,MIN,RB,259.6,1117,10.8,62.4,540,1.2,2.3,233
Saquon Barkley,NYG,RB,257.4,1164.9,9.2,61.7,496.8,2.3,1.9,231.3
Alvin Kamara,NO,RB,187.8,866.4,8,81.1,590.9,2.6,2.1,204.7
Aaron Jones,GB,RB,201.1,890,11,41.8,359.2,2,1.5,200
Nick Chubb,CLE,RB,266.5,1281.5,8,23.3,186.2,0.5,2,193.8
Kenyan Drake,ARI,RB,194.7,906.7,9.2,55.1,414.9,1.5,1.6,193
Joe Mixon,CIN,RB,264.5,1095.7,7.2,37.8,299.1,2.3,1.9,192.2
Josh Jacobs,LV,RB,250.6,1132.6,8.5,31.7,249.8,0.6,1.9,189.4
Chris Carson,SEA,RB,260.1,1123,7.2,37.8,284.5,1.8,2.9,188.7
Miles Sanders,PHI,RB,223.5,983.8,5.2,49.1,440.7,2.5,2,184.8
Austin Ekeler,LAC,RB,153.6,682.6,3.8,65.1,665.4,4.5,1.6,181.3
Todd Gurley,ATL,RB,203.9,811.8,7.1,45.2,361,2.7,1.6,172.9
David Johnson,HOU,RB,200.9,771.8,4.7,40.6,417.7,4.4,1.6,170.2
Le'Veon Bell,NYJ,RB,239.6,885.4,4.7,65.2,489.6,1.4,2,170.2
Leonard Fournette,JAC,RB,205.9,855.7,5.9,60.9,438.2,1,1.9,167.4
Mark Ingram II,BAL,RB,180.7,876.7,7.4,24.6,206.2,2,1.4,162.1
Melvin Gordon,DEN,RB,181.6,754.6,7.6,42.1,325.7,1.9,1.6,162.1
Raheem Mostert,SF,RB,169.4,878.6,8,17.5,168.1,1.6,1.4,159.4
Clyde Edwards-Helaire,KC,RB,148.8,634.3,6.4,39.9,413.6,3.2,1.9,158.9
James Conner,PIT,RB,185,764.3,6.6,41.3,310.5,2.2,1.5,157.2
Devin Singletary,BUF,RB,184.8,932.9,3.4,40.5,306,1.8,1.8,151.2
David Montgomery,CHI,RB,227.9,861.4,6.9,22.7,180.1,0.9,2,147.3
Ronald Jones II,TB,RB,186,780.1,6.5,29.2,254.4,0.6,2.1,141.7
D'Andre Swift,DET,RB,167.4,698.9,4.8,35.2,349.9,1.7,2,139.8
Cam Akers,LAR,RB,169.4,711.6,7,24.9,229.5,0.8,1.9,137.1
Marlon Mack,IND,RB,189.9,829.1,6.6,15.9,116.1,0.3,1.3,133.5
Sony Michel,NE,RB,236.4,903.1,5.8,11.2,88.8,0.2,1.9,131.6
Kerryon Johnson,DET,RB,170.4,657.7,6.5,24.4,223.3,1.1,1.4,131.1
Jordan Howard,MIA,RB,177.5,717.7,6.9,21.5,154.1,0.8,1.3,130.8
Jonathan Taylor,IND,RB,182.6,804,6.2,13.2,119.3,0.8,1.9,130.6
Derrius Guice,WAS,RB,145.3,642.8,4.8,33.6,305.8,1.5,1.4,130.3
Damien Williams,KC,RB,115.6,490.4,7.1,29,231.4,2.6,1.3,127.8
Kareem Hunt,CLE,RB,98.1,446.5,4.1,52.5,462.1,2.3,1.3,126.8
Latavius Murray,NO,RB,150,633.1,6.2,25.8,181.7,1,1.3,121.9
Phillip Lindsay,DEN,RB,146.9,678.1,4.6,36.9,238.6,0.5,1.2,119.5
Ke'Shawn Vaughn,TB,RB,145.5,601.9,5.3,25.4,235.6,1.1,1.8,118.3
Darrell Henderson,LAR,RB,151.2,608.9,4.4,29.3,252.4,1.2,1.4,116.5
Tevin Coleman,SF,RB,145.6,621.3,5.2,16.5,157.3,1.2,1.2,114.2
James White,NE,RB,76.5,309.5,1.9,60.7,538.7,2.9,1.2,110.9
Zack Moss,BUF,RB,148.7,674.1,4.5,17,145.1,0.8,1.8,110.3
Matt Breida,MIA,RB,137.9,618.1,2.1,36.3,264.3,1.6,1.4,107.7
Boston Scott,PHI,RB,107.7,436.4,5.9,35.5,277.1,0.5,1.4,107
Tarik Cohen,CHI,RB,84.2,318,1.7,70.4,476.9,2.6,1.3,102.5
Duke Johnson,HOU,RB,90.6,445.5,1.7,38.7,341.7,2.2,1.5,99.3
J.K. Dobbins,BAL,RB,120.4,604.1,3.2,15.4,136.9,0.9,1.2,96.5
Justin Jackson,LAC,RB,128.8,615.5,3.3,20.8,133,0.5,0.7,96.5
Tony Pollard,DAL,RB,113.4,524,2.6,27.2,203.1,1.7,1.3,96
Rex Burkhead,NE,RB,91.1,372.2,3.5,27.8,270,1,1.2,88.8
Nyheim Hines,IND,RB,84.2,321.5,2.7,45.2,344.8,0.9,1.7,84.7
Alexander Mattison,MIN,RB,128.4,553.1,2.9,10.3,87.6,0.3,0.8,81.9
Rashaad Penny,SEA,RB,90,434.6,3.4,12.1,109.3,0.9,0.7,78.6
Chase Edmonds,ARI,RB,81.4,353,3.7,17.2,135.8,1.4,0.6,78.1
Jamaal Williams,GB,RB,83.7,335.1,1.3,31.8,228.5,2.4,0.6,77.1
Jerick McKinnon,SF,RB,92.9,404.5,2.2,23.6,205,0.8,1.1,76.8
Adrian Peterson,WAS,RB,120.3,481.4,3,14.3,118.4,0.2,1.3,76.7
Ito Smith,ATL,RB,75.9,317.7,3.9,26.6,195.6,0.5,0.7,76.1
Joshua Kelley,LAC,RB,111.2,458.2,3.6,7.7,62.3,0.2,1.2,72.3
A.J. Dillon,GB,RB,105.8,444.6,4,6.2,51.7,0.2,1.1,72.2
Darrynton Evans,TEN,RB,77.7,345.4,2.1,22,205.2,1,0.7,72.1
Jalen Richard,LV,RB,75.3,323,1.4,36.1,316.2,0.5,1.7,71.8
Chris Thompson,JAC,RB,59.6,247.3,1.4,37.4,339.5,0.8,0.7,70.5
Anthony McFarland Jr.,PIT,RB,100.2,406.9,2.7,13.8,111.7,0.7,1.2,70
Antonio Gibson,WAS,RB,49.4,205.8,1.4,37.1,345.9,1.2,1.2,68.3
Giovani Bernard,CIN,RB,80.6,302.4,1.7,31.4,243.3,0.3,0.8,65.5
Gus Edwards,BAL,RB,90.9,448.7,2,6.1,47.7,0.2,0.7,61.2
Jaylen Samuels,PIT,RB,44.3,155.4,1,37,255.9,1.4,0.7,53.7
Bryce Love,WAS,RB,58.9,248.6,1.7,12.9,103.6,0.4,0.3,47.1
Dion Lewis,NYG,RB,62.3,242.4,1,21.2,131.2,0.8,0.7,46.9
Reggie Bonnafon,CAR,RB,52.8,253.8,1.7,8.7,73.2,0.2,0.6,42.7
Darwin Thompson,KC,RB,58.8,244,1.7,9.2,51.5,0.1,0.5,39.6
DeeJay Dallas,SEA,RB,51.3,221.7,1.5,7.5,71.7,0.2,0.6,38.3
Benny Snell Jr.,PIT,RB,68.1,264.2,1.9,2.1,14.8,0,0.6,38
Dare Ogunbowale,TB,RB,25.7,91.6,1.9,17.1,136.9,0.4,0.1,36.5
Ryquell Armstead,JAC,RB,62.8,219.3,1.5,5.7,52.6,0.2,0.6,36
