Player,Team,POS,REC,REC_YDS,REC_TDS,FL,FPTS
Travis Kelce,KC,TE,91.8,1150.8,8.4,0.8,164.1
George Kittle,SF,TE,82.6,1048.1,6.3,0.7,141.2
Mark Andrews,BAL,TE,64.9,876.4,8.5,0.8,137.2
Zach Ertz,PHI,TE,84.7,873.9,6.4,0.7,124.4
Darren Waller,LV,TE,78.5,950.5,4.6,0.7,120.9
Jared Cook,NO,TE,48.6,693.4,7.2,0.7,111.3
Evan Engram,NYG,TE,67.8,763.6,5.6,0.6,108.8
Rob Gronkowski,TB,TE,52.8,781.9,4.9,0.6,106.5
Hunter Henry,LAC,TE,61.9,742.9,5.4,0.7,105.2
Tyler Higbee,LAR,TE,72,778.8,4.4,0.6,103.2
Noah Fant,DEN,TE,53.5,710.5,4.6,0.7,97.1
Austin Hooper,CLE,TE,57.9,646.6,5.4,0.6,95.8
Mike Gesicki,MIA,TE,60.3,665.3,5.1,0.7,95.7
Hayden Hurst,ATL,TE,54.4,639.7,3.8,0.6,85.5
Jack Doyle,IND,TE,54.3,552,4.9,0.7,83.2
Dallas Goedert,PHI,TE,55.2,552.2,5,1.2,82.6
T.J. Hockenson,DET,TE,54.3,606.2,3.8,0.7,81.8
Jonnu Smith,TEN,TE,48.2,541.9,4.5,0.6,79.7
Eric Ebron,PIT,TE,45.5,507.7,4,0.1,74.6
Chris Herndon IV,NYJ,TE,41.5,512.2,3.7,0.1,73.1
Blake Jarwin,DAL,TE,42.7,498.8,3.8,0.1,72.6
Kyle Rudolph,MIN,TE,40.9,396.6,4.8,0.1,68.5
Ian Thomas,CAR,TE,48.6,462.6,3.8,0.6,67.6
Greg Olsen,SEA,TE,36.7,466.1,3.4,0.1,66.8
Irv Smith Jr.,MIN,TE,48.9,484.3,3,0.6,64.9
Jace Sternberger,GB,TE,39.3,395.5,4.2,0.6,63.3
Jimmy Graham,CHI,TE,41.3,452.4,2.6,0.1,60.7
Dawson Knox,BUF,TE,37.2,466.5,2.4,0.1,60.5
C.J. Uzomah,CIN,TE,41.5,387.4,3.5,0.1,59.4
Darren Fells,HOU,TE,31,298.6,4.8,0.1,58.5
Tyler Eifert,JAC,TE,36.3,389.6,2.8,0.1,55.5
Gerald Everett,LAR,TE,36,400.6,2.5,0.1,55.2
Dan Arnold,ARI,TE,25.2,335.5,3.1,0.1,51.8
O.J. Howard,TB,TE,28.5,404.3,2.1,0.6,51.7
Nick Boyle,BAL,TE,32.5,317.5,3,0.1,49.7
David Njoku,CLE,TE,24.8,278.6,3.2,0.1,47.2
Jordan Akins,HOU,TE,30.7,345.1,2.1,0.1,46.9
Anthony Firkser,TEN,TE,23.6,309.4,2.7,0.1,46.7
Ryan Griffin,NYJ,TE,27.5,279.1,3,0,45.9
Jeremy Sprinkle,WAS,TE,34.5,333.4,2,0.1,45.3
Vance McDonald,PIT,TE,32.5,284.1,2.5,0.1,43.3
Jeff Heuerman,DEN,TE,24,250,3,0,43
Will Dissly,SEA,TE,21.7,259.3,2.8,0.1,42.4
Cameron Brate,TB,TE,20.9,211.7,2.5,0,36.3
Cole Kmet,CHI,TE,26.2,274.1,1.6,0.6,35.8
Jesper Horsted,CHI,TE,28,260,2,2,34
Trey Burton,IND,TE,23.1,219.7,1.8,0.1,32.8
Josh Oliver,JAC,TE,22.7,229.4,1.6,0.6,31.2
Andrew Beck,DEN,TE,17,189,2,0,30.9
Marcedes Lewis,GB,TE,19.6,202.2,1.7,0,30.4
Jaeden Graham,ATL,TE,18.4,220.7,1.3,0.1,30
Matt LaCosse,NE,TE,20.9,223.3,1.2,0.1,29.6
Jesse James,DET,TE,22,220.1,1.2,0,29.2
James O'Shaughnessy,JAC,TE,18.7,186.1,1.7,0,28.9
Maxx Williams,ARI,TE,17.4,185.1,1.5,0,27.4
Josh Hill,NO,TE,17.6,158.3,1.9,0.1,27
Drew Sample,CIN,TE,20.5,195,1.4,0.5,26.6
Logan Thomas,WAS,TE,19.6,195.7,1.1,0.1,26.1
Dalton Schultz,DAL,TE,16.8,180.1,1.3,0.1,25.5
Virgil Green,LAC,TE,14.8,156.8,1.5,0,24.4
Ricky Seals-Jones,KC,TE,7.1,111.7,2.2,0,24.3
Jacob Hollister,SEA,TE,16.6,160.6,1.3,0,24.1
Taysom Hill,NO,TE,14.9,162.6,1.4,0.3,23.8
Mo Alie-Cox,IND,TE,14.5,186.4,0.8,0,23.7
Devin Asiasi,NE,TE,15.7,165.3,1.3,0.5,23
Garrett Griffin,NO,TE,13,106,2,0,22.6
Stephen Sullivan,SEA,TE,10,157,1,0,21.7
Levine Toilolo,NYG,TE,14.4,146.3,1.2,0,21.7
Tyler Kroft,BUF,TE,11.9,121.6,1.5,0,20.8
Codey McElroy,TB,TE,10,146,1,0,20.6
Demetrius Harris,CHI,TE,10.8,105.1,1.5,0,19.6
Deon Yelder,KC,TE,11.4,129,1.1,0.1,19.1
Kaden Smith,NYG,TE,13.1,122.9,1.1,0,19
Tanner Hudson,TB,TE,10,126,1,0,18.6
Nick O'Leary,LV,TE,11,125,1,0,18.5
Khari Lee,ATL,TE,13,124,1,0,18.4
Blake Bell,DAL,TE,10.9,118.3,1,0.1,17.8
Ben Braunecker,CHI,TE,11,114,1,0,17.4
Harrison Bryant,CLE,TE,11.8,128,0.8,0,17.4
Pharaoh Brown,CLE,TE,10,113,1,0,17.3
Eric Tomlinson,NYG,TE,11,106,1,0,16.6
Jason Witten,LV,TE,12.1,105,1,0.1,16.5
Chris Manhertz,CAR,TE,9.9,116.5,0.8,0,16.4
Durham Smythe,MIA,TE,11.3,118.5,0.8,0.1,16.2
Josiah Deguara,GB,TE,12.2,125.7,0.8,0.5,16.2
Foster Moreau,LV,TE,11.2,100.2,1,0,15.8
Adam Shaheen,CHI,TE,11.5,106.1,1.2,1,15.6
MyCole Pruitt,TEN,TE,8.7,99.2,0.9,0,15.4
Troy Fumagalli,DEN,TE,11,90,1,0,15
Kahale Warring,HOU,TE,8.4,90.9,0.8,0,13.8
Adam Trautman,NO,TE,9.3,90.2,0.7,0,13.1
Michael Roberts,MIA,TE,7.9,89.5,0.6,0,12.7
Ryan Izzo,NE,TE,6.9,86.1,0.6,0,12.4
Jordan Thomas,HOU,TE,7.3,76.7,0.8,0,12.4
Seth DeValve,CAR,TE,7.9,85.5,0.6,0,12.3
Joshua Perkins,PHI,TE,7.8,80.7,0.7,0,12
Brycen Hopkins,LAR,TE,7.9,83.1,0.6,0,12
Tommy Sweeney,BUF,TE,6.1,82.3,0.6,0,11.9
Derek Carrier,LV,TE,7.9,70.5,0.7,0,11.2
Hale Hentges,WAS,TE,7.4,83.2,0.5,0,11
Donald Parham,LAC,TE,6.6,73.5,0.6,0,11
Ross Dwelley,SF,TE,6.5,69.7,0.7,0,10.8
Albert Okwuegbunam,DEN,TE,7.1,71,0.6,0,10.7
Charlie Woerner,SF,TE,6.1,69.1,0.6,0,10.7
Tyler Conklin,MIN,TE,6.8,78.2,0.5,0,10.4
Colby Parkinson,SEA,TE,6.1,65.4,0.6,0,10.1
Nick Vannett,DEN,TE,7.1,69.2,0.5,0.1,9.8
Luke Willson,SEA,TE,5.6,52.2,0.6,0,8.6
Zach Gentry,PIT,TE,3.9,42.5,0.4,0,6.5
Robert Tonyan,GB,TE,3.5,41.5,0.3,0,6
Carson Meier,ATL,TE,4,42.1,0.3,0,5.9
Darrell Daniels,ARI,TE,3.4,37.8,0.4,0,5.9
Johnny Mundt,LAR,TE,3.8,42.4,0.3,0,5.7
Richard Rodgers,WAS,TE,3.7,41.4,0.2,0,5.4
Trevon Wesco,NYJ,TE,3.5,39.1,0.2,0,5.3
Daniel Brown,NYJ,TE,3.6,37.3,0.3,0,5.3
Mason Schreck,CIN,TE,3.5,37.2,0.2,0,5
Lee Smith,BUF,TE,3.5,33.3,0.3,0,5
Antony Auclair,TB,TE,2,20.6,0.2,0,3.2
Matt Lengel,IND,TE,1.8,20,0.2,0,2.9
Ross Travis,NYJ,TE,0,0,0,0,0
Xavier Grimble,IND,TE,0,0,0,0,0
Charles Jones,JAC,TE,0,0,0,0,0
Cole Wick,NO,TE,0,0,0,0,0
Moritz Bohringer,CIN,TE,0,0,0,0,0
Jason Vander Laan,NO,TE,0,0,0,0,0
Temarrick Hemingway,CAR,TE,0,0,0,0,0
Stephen Anderson,LAC,TE,0,0,0,0,0
Jordan Leggett,TB,TE,0,0,0,0,0
James Looney,GB,TE,0,0,0,0,0
Jake Butt,DEN,TE,0,0,0,0,0
Stephen Carlson,CLE,TE,0,0,0,0,0
Eric Saubert,CHI,TE,0,0,0,0,0
Brandon Dillon,MIN,TE,0,0,0,0,0
Garrett Dickerson,NYG,TE,0,0,0,0,0
Clive Walford,MIA,TE,0,0,0,0,0
J.P. Holtz,CHI,TE,0,0,0,0,0
Tyler Davis,JAC,TE,0,0,0,0,0
Alex Ellis,PHI,TE,0,0,0,0,0
Jason Croom,BUF,TE,0,0,0,0,0
Sean Culkin,LAC,TE,0,0,0,0,0
Cole Hikutini,DAL,TE,0,0,0,0,0
Ben Koyack,JAC,TE,0,0,0,0,0
Tyrone Swoopes,SEA,TE,0,0,0,0,0
Kendall Blanton,LAR,TE,0,0,0,0,0
Jordan Franks,CIN,TE,0,0,0,0,0
Evan Baylis,GB,TE,0,0,0,0,0
Jerome Cunningham,WAS,TE,0,0,0,0,0
Caleb Wilson,WAS,TE,0,0,0,0,0
