Player,Team,POS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS
Michael Thomas,NO,WR,122.9,1400.1,8.5,1,-5,0,0.8,189.1
Julio Jones,ATL,WR,102.6,1443.5,6.9,1.9,6.7,0,0.8,184.7
Tyreek Hill,KC,WR,80.4,1191.8,8.5,12.1,62.8,0.3,0.7,177.1
Davante Adams,GB,WR,99.5,1293,8.1,0,0,0,0.8,176.5
Mike Evans,TB,WR,71.7,1164.4,8.6,0,0,0,0.7,166.6
Chris Godwin,TB,WR,80.4,1176.2,7.8,1,8,0,0.8,163.7
DeAndre Hopkins,ARI,WR,97.7,1160.3,7.9,2.4,15.3,0.1,0.8,163.6
Kenny Golladay,DET,WR,64.6,1129.5,8,0,3,0,0.7,159.9
Adam Thielen,MIN,WR,77.4,1088.1,7.2,4.7,19.3,0.6,0.8,156
Amari Cooper,DAL,WR,72.4,1068.9,7.3,1.6,10.4,0,0.7,150.7
Calvin Ridley,ATL,WR,76.6,1021.7,7.8,2.4,25.2,0,0.7,150.1
Tyler Lockett,SEA,WR,77.5,1072.9,7,5.2,20.3,0.1,0.7,150
A.J. Brown,TEN,WR,59.1,1020.4,6.9,4.2,43.2,0.6,0.7,149.6
D.J. Moore,CAR,WR,90.1,1208.3,4.2,7.1,56,0.1,1.5,149.3
Cooper Kupp,LAR,WR,83.6,1040.1,7.5,3,14.9,0.1,0.9,148.9
DeVante Parker,MIA,WR,71.3,1090.5,6.7,0,0,0,0.6,148.1
Courtland Sutton,DEN,WR,70.1,1067.8,6.9,2,11.6,0,0.8,147.9
JuJu Smith-Schuster,PIT,WR,86.5,1100.9,6.4,0,2,0,0.7,147
Terry McLaurin,WAS,WR,71.8,1077,6.7,0,0,0,0.7,146.2
T.Y. Hilton,IND,WR,72.5,1009.4,7.6,0,0,0,0.7,144.8
Allen Robinson,CHI,WR,88,1061.9,6.4,1.4,6.9,0,1,143.6
Robert Woods,LAR,WR,83.6,1065.7,3.7,16.9,105.1,0.9,0.7,143.6
Odell Beckham Jr.,CLE,WR,74.7,1071.3,5.7,3.5,17.8,0.1,0.7,142.3
Marquise Brown,BAL,WR,60.4,840.1,7.1,18,162,0,0.6,141.8
Keenan Allen,LAC,WR,87.3,1058.1,5.5,4.5,27.9,0.1,0.7,140.2
D.K. Metcalf,SEA,WR,63.4,991.5,7.1,2.1,10.6,0,1.8,139.3
Michael Gallup,DAL,WR,63.7,1035,5.9,0,0,0,0.6,138
Jarvis Landry,CLE,WR,76.1,1019.8,5.9,1,14,0,0.7,137.7
Deebo Samuel,SF,WR,60.8,836.3,4.5,18.3,193.4,1.4,0.8,136.8
A.J. Green,CIN,WR,71.5,1022.9,6,0,0,0,1.3,136
Marvin Jones,DET,WR,65.3,902,7.6,2,5.7,0,0.6,135.3
D.J. Chark,JAC,WR,70.6,963.3,6.1,1.8,12.3,0,0.9,132.6
Stefon Diggs,BUF,WR,63.2,959.9,5.3,6.6,53,0,1.4,130.4
Julian Edelman,NE,WR,80.9,937.2,4.3,9.6,51.3,0.6,0.9,126.8
Tyler Boyd,CIN,WR,80.6,949,5,3.5,21.2,0,1.3,124.7
Sterling Shepard,NYG,WR,74.9,822.5,4.9,7.2,57.9,0.1,0.6,116.9
Preston Williams,MIA,WR,63.3,863.7,5.4,1,2,0,1.2,116.7
Darius Slayton,NYG,WR,54.3,800.2,6.2,0,0,0,0.7,115.9
Brandin Cooks,HOU,WR,57.6,846,4.3,5.9,46.7,0,0.7,114.3
Jamison Crowder,NYJ,WR,74.2,843.8,4.9,2,12,0,0.7,113.6
Diontae Johnson,PIT,WR,69.7,802,5.4,4,31.4,0.1,1.4,113.5
Robby Anderson,CAR,WR,56,838.1,4.9,1.4,7.3,0,0.7,112.5
John Brown,BUF,WR,58.8,839.4,4.7,2,10.5,0,0.6,112.4
Christian Kirk,ARI,WR,66.2,755.6,4.6,12,91.6,0.2,0.6,112.4
Will Fuller,HOU,WR,60.6,846.7,4.6,0,2,0,0.7,111.2
Golden Tate,NYG,WR,65.1,806.8,4.8,2.9,21.9,0.1,0.8,110.5
Mike Williams,LAC,WR,47,866.9,3.8,2,8,0,0.1,110
