,Player,Tm,Pos,Age,ADP,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Christian McCaffrey,CAR,RB,23,3.2,0,2,0,0,287,1387,142,116,1005,8.66,1,0,0,0,2,1387,15,287,1005,4,469.2
1,Lamar Jackson,BAL,QB,22,97.6,265,401,3127,6,176,1206,0,0,0,0,9,2,3127,36,401,1206,7,176,0,0,415.68
6,Michael Thomas,NOR,WR,26,10.4,0,0,0,0,1,-9,185,149,1725,11.58,1,0,0,0,0,-9,0,1,1725,9,374.6
11,Dak Prescott,DAL,QB,26,127.2,388,596,4902,11,52,277,0,0,0,0,6,2,4902,30,596,277,3,52,0,0,335.78
13,Russell Wilson,SEA,QB,31,88.4,341,516,4110,5,75,342,0,0,0,0,8,2,4110,31,516,342,3,75,0,0,326.6
16,Deshaun Watson,HOU,QB,24,47.1,333,495,3852,12,82,413,1,1,6,6,10,3,3852,26,495,413,7,82,6,1,318.98
3,Aaron Jones,GNB,RB,25,29.2,0,0,0,0,236,1084,68,49,474,9.67,3,2,0,0,0,1084,16,236,474,3,314.8
4,Ezekiel Elliott,DAL,RB,24,3.9,0,0,0,0,301,1357,71,54,420,7.78,3,2,0,0,0,1357,12,301,420,2,311.7
9,Austin Ekeler,LAC,RB,24,61.7,0,0,0,0,132,557,108,92,993,10.79,3,2,0,0,0,557,3,132,993,8,309
29,Jameis Winston,TAM,QB,25,105.1,380,626,5109,30,59,250,0,0,0,0,12,5,5109,33,626,250,1,59,0,0,297.36
2,Derrick Henry,TEN,RB,25,43.8,0,0,0,0,303,1540,24,18,206,11.44,5,3,0,0,0,1540,16,303,206,2,294.6
5,Dalvin Cook,MIN,RB,24,14.6,0,0,0,0,250,1135,63,53,519,9.79,4,2,0,0,0,1135,13,250,519,0,292.4
47,Patrick Mahomes,KAN,QB,24,19.3,319,484,4031,5,43,218,0,0,0,0,3,2,4031,26,484,218,2,43,0,0,285.04
43,Josh Allen,BUF,QB,23,145.8,271,461,3089,9,109,510,0,0,0,0,14,4,3089,20,461,510,9,109,0,0,282.56
49,Kyler Murray,ARI,QB,22,110.9,349,542,3722,12,93,544,0,0,0,0,5,2,3722,20,542,544,4,93,0,0,279.28
14,Chris Godwin,TAM,WR,23,39.9,0,0,0,0,1,8,121,86,1333,15.5,0,0,0,0,0,8,0,1,1333,9,274.1
26,Julio Jones,ATL,WR,30,10.2,0,0,0,0,2,-3,157,99,1394,14.08,1,0,0,0,0,-3,0,2,1394,6,274.1
55,Aaron Rodgers,GNB,QB,36,55.7,353,569,4002,4,46,183,0,0,0,0,4,4,4002,26,569,183,1,46,0,0,272.38
59,Carson Wentz,PHI,QB,27,74.6,388,607,4039,7,62,243,0,0,0,0,16,7,4039,27,607,243,1,62,0,0,271.86
25,Cooper Kupp,LAR,WR,26,45.2,0,1,0,0,2,4,134,94,1161,12.35,3,0,0,0,1,4,0,2,1161,10,270.5
34,DeAndre Hopkins,HOU,WR,27,7,1,2,6,1,2,18,150,104,1165,11.2,0,0,6,1,2,18,0,2,1165,7,266.54
68,Matt Ryan,ATL,QB,34,69.2,408,616,4466,14,34,147,0,0,0,0,9,5,4466,26,616,147,1,34,0,0,265.34
75,Tom Brady,NWE,QB,42,114.6,373,613,4057,8,26,34,0,0,0,0,4,1,4057,24,613,34,3,26,0,0,261.68
36,Keenan Allen,LAC,WR,27,25,0,0,0,0,3,16,149,104,1199,11.53,0,0,0,0,0,16,0,3,1199,6,261.5
28,Leonard Fournette,JAX,RB,24,23.2,0,0,0,0,265,1152,100,76,522,6.87,1,1,0,0,0,1152,3,265,522,0,259.4
8,Nick Chubb,CLE,RB,24,11.7,0,0,0,0,298,1494,49,36,278,7.72,3,3,0,0,0,1494,8,298,278,0,255.2
38,Allen Robinson,CHI,WR,26,76.6,0,0,0,0,1,2,154,98,1147,11.7,0,0,0,0,0,2,0,1,1147,7,254.9
7,Travis Kelce,KAN,TE,30,17.1,0,0,0,0,1,4,136,97,1229,12.67,1,1,0,0,0,4,1,1,1229,5,254.3
39,Julian Edelman,NWE,WR,33,36.1,2,2,47,0,8,27,153,100,1117,11.17,3,1,47,1,2,27,0,8,1117,6,254.28
40,Alvin Kamara,NOR,RB,24,2.5,1,1,13,0,171,797,97,81,533,6.58,4,1,13,0,1,797,5,171,533,1,248.52
19,Kenny Golladay,DET,WR,26,47.1,0,0,0,0,0,0,116,65,1190,18.31,1,1,0,0,0,0,0,0,1190,11,248
78,Jared Goff,LAR,QB,25,81.5,394,626,4638,16,33,40,0,0,0,0,10,5,4638,22,626,40,2,33,0,0,247.52
31,Amari Cooper,DAL,WR,25,33.1,0,0,0,0,1,6,119,79,1189,15.05,0,0,0,0,0,6,0,1,1189,8,246.5
27,DeVante Parker,MIA,WR,26,#N/A,0,0,0,0,0,0,128,72,1202,16.69,0,0,0,0,0,0,0,0,1202,9,246.2
80,Derek Carr,OAK,QB,28,157.4,361,513,4054,8,27,82,0,0,0,0,7,3,4054,21,513,82,2,27,0,0,244.36
