,Player,Team,Pos,PassYds,PassTDs,Ints,RushYds,RushTDs,FumLost,G,Rec,RecYds,RecTDs,Opp,Week,TeamRec/G,TeamPassYds/G,TeamPassTDs/G,TeamInts/G,TeamRushTDs/G,TeamRushYds/G,% of TeamPassYds,% of TeamPassTDs,% of TeamInts,% of TeamRushYds,% of TeamRushTDs,% of TeamRec,% of TeamRecYds,% of TeamRecTDs,RecAllowed/G,PassYdsAllowed/G,PassTDsAllowed/G,IntsCaused/G,RushTDsAllowed/G,RushYdsAllowed/G,DI PassYds,DI PassTDs,DI Ints,DI RushYds,DI RushTDs,DI Rec,DI RecYds,DI RecTDs,HPPR Average Performance,HPPR Defense Ceiling,HPPR Opportunity Differential,PPR Average Performance,PPR Defense Ceiling,PPR Opportunity Differential
0,Terry McLaurin,WAS,WR,0,0,0,0,0,0,2,12,93,0.5,CLE,3,18,200.5,1,0,1.5,98.5,0,0,0,0,0,0.666666666666667,0.463840399002494,0.5,29,300,3,0,1,89.5,0,0,0,0,0,19.3333333333333,139.152119700748,1.5,18.3,32.5818786367415,14.2818786367415,24.3,42.2485453034082,17.9485453034082
1,Miles Sanders,PHI,RB,0,0,0,95,1,1,1,3,36,0,CIN,3,25,256,1,2,1,89,0,0,0,1.06741573033708,1,0.12,0.140625,0,16,213.5,1,0.5,2,185,0,0,0,197.47191011236,2,1.92,30.0234375,0,18.6,35.709534761236,17.109534761236,20.1,36.669534761236,16.569534761236
2,Adam Thielen,MIN,WR,0,0,0,0,0,0,2,9,70.5,1,TEN,3,15,186,1,2,1.5,107,0,0,0,0,0,0.6,0.379032258064516,1,26,277.5,2,1,1,136,0,0,0,0,0,15.6,105.181451612903,2,17.55,30.3181451612903,12.7681451612903,22.05,38.1181451612903,16.0681451612903
3,Joe Burrow,CIN,QB,254.5,1.5,1,32.5,0.5,1,2,0,0,0,PHI,3,30,254.5,1.5,0.5,0.5,95,1,1,2,0.342105263157895,1,0,0,0,18.5,222.5,2,0,2,135.5,222.5,2,0,46.3552631578947,2,0,0,0,19.43,33.5355263157895,14.1055263157895,19.43,33.5355263157895,14.1055263157895
4,Justin Herbert,LAC,QB,311,1,1,18,1,0,1,0,0,0,CAR,3,19,259.5,0.5,0.5,1,169,1.19845857418112,2,2,0.106508875739645,1,0,0,0,22.5,228,1,0.5,3,127.5,273.248554913295,2,1,13.5798816568047,3,0,0,0,23.24,37.2879303622123,14.0479303622123,23.24,37.2879303622123,14.0479303622123
5,Dwayne Haskins,WAS,QB,200.5,1,0,12.5,0,1,2,0,0,0,CLE,3,18,200.5,1,0,1.5,98.5,1,1,0,0.126903553299492,0,0,0,0,29,300,3,0,1,89.5,300,3,0,11.3578680203046,0,0,0,0,11.27,25.1357868020305,13.8657868020305,11.27,25.1357868020305,13.8657868020305
6,Logan Thomas,WAS,TE,0,0,0,0,0,0,2,8,31.5,0.5,CLE,3,18,200.5,1,0,1.5,98.5,0,0,0,0,0,0.444444444444444,0.157107231920199,0.5,29,300,3,0,1,89.5,0,0,0,0,0,12.8888888888889,47.1321695760599,1.5,10.15,20.1576614020504,10.0076614020504,14.15,26.6021058464949,12.4521058464949
7,Kirk Cousins,MIN,QB,186,1,4,17,0,0,2,0,0,0,TEN,3,15,186,1,2,1.5,107,1,1,2,0.158878504672897,0,0,0,0,26,277.5,2,1,1,136,277.5,2,2,21.607476635514,0,0,0,0,9.14,19.2607476635514,10.1207476635514,9.14,19.2607476635514,10.1207476635514
8,Allen Robinson II,CHI,WR,0,0,0,-0.5,0,0,2,8,53.5,0,ATL,3,19,216,2.5,1,0,142,0,0,0,-0.003521126760563,0,0.421052631578947,0.247685185185185,0,32.5,386,2.5,0,2.5,104.5,0,0,0,-0.367957746478873,0,13.6842105263158,95.6064814814815,0,9.3,16.3659576366582,7.06595763665816,13.3,23.208062899816,9.90806289981605
9,Ryan Fitzpatrick,MIA,QB,259.5,1,3,15,0,0,2,0,0,0,JAC,3,25.5,259.5,1,1.5,1,93,1,1,2,0.161290322580645,0,0,0,0,27,301,2.5,1,0.5,105.5,301,2.5,2,17.0161290322581,0,0,0,0,12.88,21.7416129032258,8.86161290322581,12.88,21.7416129032258,8.86161290322581
10,Mitchell Trubisky,CHI,QB,216,2.5,2,21,0,0,2,0,0,0,ATL,3,19,216,2.5,1,0,142,1,1,2,0.147887323943662,0,0,0,0,32.5,386,2.5,0,2.5,104.5,386,2.5,0,15.4542253521127,0,0,0,0,18.74,26.9854225352113,8.24542253521126,18.74,26.9854225352113,8.24542253521126
11,Steven Sims,WAS,WR,0,0,0,0,0,1,2,6,51.5,0,CLE,3,18,200.5,1,0,1.5,98.5,0,0,0,0,0,0.333333333333333,0.256857855361596,0,29,300,3,0,1,89.5,0,0,0,0,0,9.66666666666667,77.0573566084788,0,6.15,12.5390689941812,6.38906899418121,9.15,17.3724023275145,8.22240232751455
12,James Robinson,JAC,RB,0,0,0,82,0.5,0,2,4,23,0,MIA,3,24.5,256,3,1,0.5,128,0,0,0,0.640625,1,0.163265306122449,0.08984375,0,19.5,286,2,0,1.5,164,0,0,0,105.0625,1.5,3.18367346938775,25.6953125,0,15.5,23.6676179846939,8.16761798469388,17.5,25.2594547193878,7.75945471938776
13,Darnell Mooney,CHI,WR,0,0,0,0,0,0,2,6,37,0.5,ATL,3,19,216,2.5,1,0,142,0,0,0,0,0,0.31578947368421,0.171296296296296,0.2,32.5,386,2.5,0,2.5,104.5,0,0,0,0,0,10.2631578947368,66.1203703703704,0.5,9.7,14.7436159844055,5.04361598440546,12.7,19.8751949317739,7.17519493177388
14,Melvin Gordon III,DEN,RB,0,0,0,74,0.5,1,2,5,11,0.5,TB,3,20.5,246,1.5,0.5,0.5,105.5,0,0,0,0.701421800947867,1,0.24390243902439,0.044715447154472,0.333333333333333,26,282.5,1,1,1.5,84.5,0,0,0,59.2701421800948,1.5,6.34146341463415,12.6321138211382,0.333333333333333,15,21.3609573074404,6.36095730744037,17.5,24.5316890147574,7.03168901475744
15,Carson Wentz,PHI,QB,256,1,4,4.5,0.5,1,2,0,0,0,CIN,3,25,256,1,2,1,89,1,1,2,0.050561797752809,0.5,0,0,0,16,213.5,1,0.5,2,185,213.5,1,1,9.35393258426966,1,0,0,0,11.69,18.475393258427,6.78539325842697,11.69,18.475393258427,6.78539325842697
16,Mike Gesicki,MIA,TE,0,0,0,0,0,0,2,11,80,0.5,JAC,3,25.5,259.5,1,1.5,1,93,0,0,0,0,0,0.431372549019608,0.308285163776493,0.5,27,301,2.5,1,0.5,105.5,0,0,0,0,0,11.6470588235294,92.7938342967245,1.25,16.5,22.6029128414372,6.10291284143715,22,28.4264422532019,6.42644225320186
17,Tom Brady,TB,QB,228,1.5,3,4.5,0.5,1,2,0,0,0,DEN,3,23,228,1.5,1.5,2,104,1,1,2,0.043269230769231,0.25,0,0,0,29,280,2,0.5,0.5,119.5,280,2,1,5.17067307692308,0.125,0,0,0,13.57,19.4670673076923,5.89706730769231,13.57,19.4670673076923,5.89706730769231
18,Anthony Miller,CHI,WR,0,0,0,0,0,0,2,4,38,0.5,ATL,3,19,216,2.5,1,0,142,0,0,0,0,0,0.210526315789474,0.175925925925926,0.2,32.5,386,2.5,0,2.5,104.5,0,0,0,0,0,6.8421052631579,67.9074074074074,0.5,8.8,13.2117933723197,4.41179337231969,10.8,16.6328460038986,5.83284600389863
19,DeVante Parker,MIA,WR,0,0,0,0,0,0,2,9,50,0.5,JAC,3,25.5,259.5,1,1.5,1,93,0,0,0,0,0,0.352941176470588,0.192678227360308,0.5,27,301,2.5,1,0.5,105.5,0,0,0,0,0,9.52941176470588,57.9961464354528,1.25,12.5,18.0643205258982,5.56432052589822,17,22.8290264082512,5.82902640825116
20,Dalton Schultz,DAL,TE,0,0,0,0,0,1,2,10,49.5,0.5,SEA,3,29.5,358,1,0,2.5,130.5,0,0,0,0,0,0.338983050847458,0.138268156424581,0.5,33.5,423.5,1.5,1,1.5,69.5,0,0,0,0,0,11.3559322033898,58.5565642458101,0.75,10.95,16.0336225262759,5.08362252627592,15.95,21.7115886279708,5.76158862797084
21,Daniel Jones,NYG,QB,260,1,3,21.5,0,1,2,0,0,0,SF,3,25.5,260,1,1.5,0.5,52,1,1,2,0.413461538461538,0,0,0,0,23.5,204.5,1,0.5,1,142,204.5,1,1,58.7115384615385,0,0,0,0,11.55,17.0511538461538,5.50115384615384,11.55,17.0511538461538,5.50115384615384
22,James Conner,PIT,RB,0,0,0,57.5,0.5,0,2,4,11.5,0,HOU,3,25,270,2.5,0.5,0.5,125,0,0,0,0.46,1,0.16,0.042592592592593,0,21,207.5,2,0,1,198,0,0,0,91.08,1,3.36,8.83796296296296,0,11.9,17.6717962962963,5.7717962962963,13.9,19.3517962962963,5.4517962962963
23,Justin Jefferson,MIN,WR,0,0,0,0,0,0,2,5,35,0,TEN,3,15,186,1,2,1.5,107,0,0,0,0,0,0.333333333333333,0.188172043010753,0,26,277.5,2,1,1,136,0,0,0,0,0,8.66666666666667,52.2177419354839,0,6,9.55510752688172,3.55510752688172,8.5,13.8884408602151,5.38844086021505
24,Alexander Mattison,MIN,RB,0,0,0,31.5,0,0,2,5,16.5,0,TEN,3,15,186,1,2,1.5,107,0,0,0,0.294392523364486,0,0.333333333333333,0.088709677419355,0,26,277.5,2,1,1,136,0,0,0,40.0373831775701,0,8.66666666666667,24.616935483871,0,7.3,10.7987651994774,3.49876519947744,9.8,15.1320985328108,5.33209853281077
25,Benny Snell Jr.,PIT,RB,0,0,0,59,0,1,2,1,-2,0,HOU,3,25,270,2.5,0.5,0.5,125,0,0,0,0.472,0,0.04,-0.007407407407407,0,21,207.5,2,0,1,198,0,0,0,93.456,0,0.84,-1.53703703703704,0,4.2,9.6118962962963,5.4118962962963,4.7,10.0318962962963,5.3318962962963
