,Player,Team,PositionPos,Date,Injury
0,Le'Veon BellL. Bell,NYJ,RB,09/15/2020,Hamstring
1,Blake CashmanB. Cashman,NYJ,LB,09/15/2020,Groin
2,Justin ColemanJ. Coleman,DET,DB,09/15/2020,Hamstring
3,Vinny CurryV. Curry,PHI,DE,09/15/2020,Hamstring
4,Cameron ErvingC. Erving,DAL,C,09/15/2020,Knee
5,Craig JamesC. James,PHI,DB,09/15/2020,Undisclosed
6,Blake JarwinB. Jarwin,DAL,TE,09/15/2020,Knee
7,Von MillerV. Miller,DEN,LB,09/15/2020,Ankle
8,Denzel MimsD. Mims,NYJ,WR,09/15/2020,Hamstring
9,Xavier Su'a-FiloX. Su'a-Filo,CIN,OG,09/15/2020,Ankle
10,Drue TranquillD. Tranquill,LAC,LB,09/15/2020,Leg
11,Leighton Vander EschL. Vander Esch,DAL,LB,09/15/2020,Clavicle
12,Kahale WarringK. Warring,HOU,TE,09/15/2020,Undisclosed
13,Adoree' JacksonA. Jackson,TEN,DB,09/14/2020,Knee
14,David NjokuD. Njoku,CLE,TE,09/14/2020,Knee
15,Jarrod WilsonJ. Wilson,JAX,DB,09/14/2020,Hamstring
16,Josh NormanJ. Norman,BUF,DB,09/12/2020,Hamstring
17,Gunner OlszewskiG. Olszewski,NE,WR,09/12/2020,Foot
18,Deebo SamuelD. Samuel,SF,WR,09/12/2020,Foot
19,Yodny CajusteY. Cajuste,NE,OT,09/10/2020,Knee
20,Devine OzigboD. Ozigbo,JAX,RB,09/10/2020,Hamstring
21,Blake GillikinB. Gillikin,NO,P,09/09/2020,Back
22,Danielle HunterD. Hunter,MIN,DE,09/09/2020,Undisclosed
23,John HurstJ. Hurst,TB,WR,09/08/2020,Ankle
24,John MolchonJ. Molchon,TB,OG,09/08/2020,Knee
25,Eddy PineiroE. Pineiro,CHI,K,09/08/2020,Groin
26,Quincy WilliamsQ. Williams,JAX,LB,09/08/2020,Core Muscle
27,Beau AllenB. Allen,NE,DT,09/07/2020,Undisclosed
28,Eli AppleE. Apple,CAR,DB,09/07/2020,Ankle
29,Ventell BryantV. Bryant,DAL,WR,09/07/2020,Knee
30,Trey BurtonT. Burton,IND,TE,09/07/2020,Calf
31,Cameron ClarkC. Clark,NYJ,OT,09/07/2020,Shoulder
32,La'el CollinsL. Collins,DAL,OT,09/07/2020,Hip
33,Gareon ConleyG. Conley,HOU,DB,09/07/2020,Ankle
34,Isaiah CoulterI. Coulter,HOU,WR,09/07/2020,Neck
35,Dane CruikshankD. Cruikshank,TEN,DB,09/07/2020,Undisclosed
36,Sheldon DayS. Day,IND,DT,09/07/2020,Knee
37,Kabion EntoK. Ento,GB,DB,09/07/2020,Foot
38,Jon FelicianoJ. Feliciano,BUF,OG,09/07/2020,Pectoral
39,Mike FordM. Ford,DET,DB,09/07/2020,Ankle
40,Damien HarrisD. Harris,NE,RB,09/07/2020,Hand
41,Phil HaynesP. Haynes,SEA,OG,09/07/2020,Undisclosed
42,Isaiah HodginsI. Hodgins,BUF,WR,09/07/2020,Shoulder
43,Keith KirkwoodK. Kirkwood,CAR,WR,09/07/2020,Clavicle
44,Sean LeeS. Lee,DAL,LB,09/07/2020,Pelvis
45,Marcus MariotaM. Mariota,LV,QB,09/07/2020,Pectoral
46,Kamal MartinK. Martin,GB,LB,09/07/2020,Knee
47,David MayoD. Mayo,NYG,LB,09/07/2020,Knee
48,Xavier McKinneyX. McKinney,NYG,DB,09/07/2020,Foot
49,Tanner MuseT. Muse,LV,LB,09/07/2020,Toe
50,Patrick OnwuasorP. Onwuasor,NYJ,LB,09/07/2020,Knee
51,William ParksW. Parks,PHI,DB,09/07/2020,Hamstring
52,Bo ScarbroughB. Scarbrough,DET,RB,09/07/2020,Undisclosed
53,Jeff SmithJ. Smith,NYJ,WR,09/07/2020,Shoulder
54,Vyncint SmithV. Smith,NYJ,WR,09/07/2020,Core Muscle
55,Quez WatkinsQ. Watkins,PHI,WR,09/07/2020,Upper Body
56,Trae WaynesT. Waynes,CIN,DB,09/07/2020,Pectoral
57,Jabari ZunigaJ. Zuniga,NYJ,DE,09/07/2020,Quadriceps
58,Myles DornM. Dorn,MIN,DB,09/06/2020,Undisclosed
59,Justin LawlerJ. Lawler,LA,DE,09/06/2020,Foot
60,Alex TaylorA. Taylor,CLE,OT,09/06/2020,Undisclosed
61,Brett TothB. Toth,ARI,OL,09/06/2020,Undisclosed
62,Ryan BeeR. Bee,WAS,DE,09/05/2020,Undisclosed
63,Austin FortA. Fort,DEN,TE,09/05/2020,Knee
64,Reuben FosterR. Foster,WAS,LB,09/05/2020,Knee
65,Travin HowardT. Howard,LA,LB,09/05/2020,Knee
66,Derwin JamesD. James,LAC,DB,09/05/2020,Knee
67,Mike LiedtkeM. Liedtke,WAS,OL,09/05/2020,Shoulder
68,David SillsD. Sills,NYG,WR,09/05/2020,Foot
