,Team,Opp,Day,Week
202009130atl,SEA,ATL,Sun,1
202009130car,LV,CAR,Sun,1
202009130rav,BAL,CLE,Sun,1
202009100kan,KC,HOU,Thu,1
202009130nor,TB,NO,Sun,1
202009130ram,LAR,DAL,Sun,1
202009130nwe,MIA,NE,Sun,1
202009130min,MIN,GB,Sun,1
202009130sfo,ARI,SF,Sun,1
202009130jax,IND,JAC,Sun,1
202009130sfo,SF,ARI,Sun,1
202009130buf,NYJ,BUF,Sun,1
202009130buf,BUF,NYJ,Sun,1
202009130min,GB,MIN,Sun,1
202009130car,CAR,LV,Sun,1
202009140nyg,PIT,NYG,Mon,1
202009130was,PHI,WAS,Sun,1
202009100kan,HOU,KC,Thu,1
202009130jax,JAC,IND,Sun,1
202009130det,CHI,DET,Sun,1
202009130cin,CIN,LAC,Sun,1
202009130det,DET,CHI,Sun,1
202009130nwe,NE,MIA,Sun,1
202009130was,WAS,PHI,Sun,1
202009130cin,LAC,CIN,Sun,1
202009140den,DEN,TEN,Mon,1
202009140nyg,NYG,PIT,Mon,1
202009130atl,ATL,SEA,Sun,1
202009130rav,CLE,BAL,Sun,1
202009130nor,NO,TB,Sun,1
202009140den,TEN,DEN,Mon,1
202009130ram,DAL,LAR,Sun,1
202009200sdg,KC,LAC,Sun,2
202009200tam,TB,CAR,Sun,2
202009200phi,LAR,PHI,Sun,2
202009200mia,MIA,BUF,Sun,2
202009200clt,MIN,IND,Sun,2
202009200crd,ARI,WAS,Sun,2
202009200clt,IND,MIN,Sun,2
202009200nyj,NYJ,SF,Sun,2
202009200dal,DAL,ATL,Sun,2
202009200nyj,SF,NYJ,Sun,2
202009200mia,BUF,MIA,Sun,2
202009200oti,TEN,JAC,Sun,2
202009210rai,NO,LV,Mon,2
202009200sea,SEA,NE,Sun,2
202009200tam,CAR,TB,Sun,2
202009200dal,ATL,DAL,Sun,2
202009200pit,PIT,DEN,Sun,2
202009200phi,PHI,LAR,Sun,2
202009200htx,HOU,BAL,Sun,2
202009200oti,JAC,TEN,Sun,2
202009200chi,CHI,NYG,Sun,2
202009170cle,CIN,CLE,Thu,2
202009200gnb,DET,GB,Sun,2
202009200sea,NE,SEA,Sun,2
202009200crd,WAS,ARI,Sun,2
202009200sdg,LAC,KC,Sun,2
202009200htx,BAL,HOU,Sun,2
202009210rai,LV,NO,Mon,2
202009200chi,NYG,CHI,Sun,2
202009200pit,DEN,PIT,Sun,2
202009170cle,CLE,CIN,Thu,2
202009200gnb,GB,DET,Sun,2
202009270buf,LAR,BUF,Sun,3
202009240jax,MIA,JAC,Thu,3
202009270min,MIN,TEN,Sun,3
202009270crd,ARI,DET,Sun,3
202009270clt,NYJ,IND,Sun,3
202009270sea,DAL,SEA,Sun,3
202009270clt,IND,NYJ,Sun,3
202009270nor,GB,NO,Sun,3
202009270nyg,SF,NYG,Sun,3
202009270buf,BUF,LAR,Sun,3
202009270sdg,LAC,CAR,Sun,3
202009270nyg,NYG,SF,Sun,3
202009270nor,NO,GB,Sun,3
202009270min,TEN,MIN,Sun,3
202009270sdg,CAR,LAC,Sun,3
